date,reported_by,description,incident_type,severity,status
2/13/2020,Turla,The suspected Russian hackers conducted a weeks-long attack on Austria’s foreign ministry.,Espionage,High,Resolved
1/23/2020,Konni Group,The suspected North Korean threat actor Konni Group attempted to trick employees of an unnamed U.S. government agency to install malware on their computers via a spear-phishing campaign.,Espionage,High,Open
4/6/2020,,Responsible for attacking infrastructure that cyber criminals abroad were using to target Australians during the COVID-19 pandemic.,Data destruction,Medium,Investigating
2/16/2020,APT-C-23,The Hamas-associated threat actor APT-C-23 targeted Israeli soldiers by pretending to be women looking for romantic partners. Duped soldiers were then enticed to download apps that contained spyware onto their phones.,Espionage,HIgh,Investigating
8/10/2020,Fox Kitten,"Iranian hackers attacked high-end networking equipment with recently reported vulnerabilities that had not yet been patched, providing a “beachhead” for peer hacking groups.",Espionage,Critical,Resolved
3/29/2020,Government of Saudi Arabia,The Saudi Arabian government used flaws in the global Signaling System 7 (SS7) to track Saudis in the United States by sending requests through Saudi phone companies.,Espionage,High,Resolved
5/12/2020,Hidden Cobra,"Hidden Cobra used a variety of malware tools to hack into and steal money from banks, cryptocurrency exchanges, and ATMs.",Financial Theft,Low,Investigating
8/31/2020,"Also known as Parasite, UNC757, and Fox Kitten.","Responsible for gathering sensitive and private information relevant to Iran. In addition to stalking Iranian expats and dissidents, Pioneer Kitten has targeted North American and Israeli technology, government, defense, and healthcare organizations. Pioneer Kitten is unlikely to be an official part of the Iranian government, and is more likely contracted to act on its behalf.",Espionage,Critical,Investigating
1/13/2020,APT 28,"The alleged Russian actors hacked Burisma, a Ukrainian gas company whose board Joe Biden’s son sat on. President Trump had previously pressed Ukraine to open an investigation into Biden and Burisma, which led to his impeachment.",Espionage,High,Open
1/28/2020,KINGDOM,The Saudi hackers KINGDOM launched a phishing attack to attempt to trick  journalist Ben Hubbard into installing NSO Group’s Pegasus malware onto his phone. Hubbard does not recall clicking on the infected link sent to him via text message and it is unknown if his phone was infected.,Espionage,High,Resolved
7/17/2020,Believed to be the work of the Iranian government.,Hackers targeted two water pumps in Galilee and Mateh Yehuda. No real-world effects were reported as a result of the hacking operation. Israel's government stated that no data had been stolen.,Sabotage,Medium,Open
4/15/2020,Syrian Electronic Army,The Syrian Electronic Army distributed numerous COVID-19–themed Android mobile apps to Arabic-speaking users.,Espionage,HIgh,Investigating
8/14/2020,Lazarus Group,Responsible for using social engineering and lofty job postings to coax employees into downloading malware that ultimately stole classified data.,Espionage,Critical,Investigating
2/16/2020,"APT 34, possibly APT 33/APT 39.","The Iranian threat actors targeted dozens of companies in the United States, Israel, Saudi Arabia, and elsewhere. They exploited VPNs for initial access and breached additional companies via supply chain attacks.",Espionage,High,Resolved
4/23/2020,Russia,"Hackers breached Poland’s War Studies University’s website and posted a fake letter from the university’s commander, urging Polish soldiers “to fight against the American occupation.”",Defacement,Low,Resolved
9/18/2020,Pioneer Kitten,"Iranian hackers stole personal documents and two-factor authentication codes from SMS messages, recorded phones’ surroundings, and used Telegram phishing accounts to target Iranian expats and dissidents.",Espionage,Critical,Investigating
1/8/2020,APT 34,"The Iranian state-backed hackers installed malware on the network of Bapco, Bahrain’s national oil producer. The malware, called Dustman, used a wiper functionality, but experts suspect this could have been meant to erase itself after being discovered.",Espionage,High,Investigating
3/31/2020,NOTE: Some Moonlight Maze tooling has also been referred to as “Storm Cloud.” There is no known connection.,Performed highly targeted watering-hole attacks on visitors to Tibetan websites.,,High,Open
7/28/2020,RedDelta,"Hackers conducted an espionage campaign against Vatican City beginning in May 2020. In one instance, embedded malware was sent using the email of the Vatican Secretary of State. Hackers were likely trying to gain information on the Vatican’s negotiating position prior to high-level talks between the Catholic Church and Beijing in September 2020 regarding a provisional agreement concerning the appointment of Catholic bishops in China. ",,Medium,Resolved
3/5/2020,Tonto Team,"The Chinese government–aligned APT Tonto Team used Bisonal malware for over ten years in various campaigns against entities in Japan, Russia, and South Korea.",Espionage,HIgh,Open
4/6/2020,Australian Signals Directorate,The Australian government launched cyberattacks disabling infrastructure used by foreign-based cybercriminals targeting Australians during the coronavirus pandemic.,Data destruction,Critical,Investigating
8/19/2020,,"Responsible for targeting governments in Asia, particularly in Taiwan but also in Hong Kong and Japan. They used Taidoor malware to steal information from Taiwanese government agencies and official email accounts.",Espionage,High,Investigating
1/9/2020,APT 33,"The Iranian hackers APT 33 targeted the U.S. electric grid with password-spraying attacks, likely in an attempt to gain access. They targeted only the IT side of networks so far and have not proven their ability to access physical systems.",Espionage,Low,Resolved
6/17/2020,Believed to be Lazarus Group,"Hackers impersonated recruiters from Collins Aerospace and General Dynamics to lure in employees with enticing job offers, subsequently tricking them into opening malicious files sent via LinkedIn’s private messaging app.",Espionage,Critical,Resolved
11/14/2020,Believed to be the work of the Chinese government. ,Chinese hackers scanned networks in search of virtual private network (VPN) and email server vulnerabilities with the aim of exfiltrating data.,Espionage,High,Investigating
1/20/2020,Bronze Butler,"The China-linked Bronze Butler threat actor is suspected to have used a zero-day in Trend Micro antivirus to attack Mitsubishi Electric and steal data on thousands of employees. In May 2020, it was disclosed that the breach resulted in the theft of specifications for a hypersonic missile that Japan had been developing to protect disputed territory in the East China Sea.",Espionage,High,Investigating
3/31/2020,Storm Cloud,The Chinese hackers Storm Cloud performed highly targeted watering-hole attacks on visitors to a few Tibetan websites and tried to make them install fake versions of Adobe Flash.,,Medium,Open
7/21/2020,Guangdong State Security Department (GSSD) of China’s Ministry of State Security (MSS),"Hackers conducted a combination of financially motivated and espionage-driven hacking operations against hundreds of companies, organizations, and research firms based in the United States and other countries, stealing terabytes of information.",Espionage,HIgh,Resolved
3/5/2020,,"Chinese government-aligned APT that used Bisonal malware for over ten years in various campaigns against entities in Japan, Russia, and South Korea.",,Critical,Open
5/13/2020,Chinese government,"Cyber actors affiliated with the Chinese government attempted to identify and illicitly obtain intellectual property and public health data related to vaccines, treatments, and testing from networks and personnel associated with COVID-19–related research.",Espionage,High,Investigating
8/19/2020,BlackTech,"Hackers exploited vulnerabilities in at least four Taiwanese tech companies that provided information technology services to the government using the Taidoor malware, allowing them far-reaching access to official systems and accounts since at least 2018.",Espionage,Low,Investigating
3/12/2020,,Conducted coronavirus-related phishing campaign against targets in the Mongolian government.,,Critical,Resolved
5/25/2020,Chafer ,"Dating back to 2018, hackers conducted espionage campaigns against air transportation and government agencies in Kuwait and Saudi Arabia.",,High,Resolved
9/15/2020,Pioneer Kitten,Iranian hackers scanned U.S. government and private networks for virtual private network (VPN) and cloud computing vulnerabilities with the aim of exfiltrating data.,,High,Investigating
1/21/2020,Government of Saudi Arabia,"An account belonging to Prince Mohammed bin Salman sent Jeff Bezos spyware masquerading as a video over WhatsApp, which allowed Saudi Arabia to surveil Bezos’ phone from May 2018 until February 2019. The attack could have been related to Bezos’ ownership of the Washington Post, whose columnist Jamal Khashoggi was allegedly killed on bin Salman’s orders.",Espionage,Medium,Investigating
4/2/2020,Iranian government,"Hackers sent phishing emails masquerading as Google web services to WHO employees, attempting to gain access to internal information.",Espionage,HIgh,Open
7/28/2020,,Believed to be responsible for conducting an espionage campaign against Vatican City and its subsidiary organization in China.,Espionage,Critical,Resolved
3/12/2020,Turla,"The Russian threat actor Turla compromised four Armenian websites, two belonging to the government and two closely related, to use in a strategic web compromise/watering-hole attack.",Espionage,High,Open
5/14/2020,Vicious Panda,"A group using tools similar to Chinese government–affiliated group Vicious Panda targeted high-profile companies in Central Asia and planting backdoors to gain access to corporate networks. The group is also believed to be behind cyberattacks in Belarus, Mongolia, and Russia.",Espionage,Low,Investigating
8/26/2020,Lazarus Group,Hackers affiliated with the Lazarus Group targeted automated teller machines (ATMs) by manipulating transaction-processing software to initiate fraudulent cash-outs.,Financial Theft,Critical,Investigating
