date,incident_type,severity,status,description,reported_by,created_at
10/1/2025,Phishing,High,Open,Suspicious email targeting HR department,user1,
10/2/2025,Malware,Critical,Investigating,Ransomware detected on server,user2,
10/3/2025,DDoS,Medium,Resolved,Traffic spike affecting website performance,user3,
10/4/2025,Data Leak,High,Open,Sensitive data exposed via cloud misconfiguration,user4,
10/5/2025,Insider Threat,Critical,Investigating,Unauthorized access to payroll system,user5,
10/6/2025,Phishing,Low,Closed,Spam email detected, no user impacted,user6
10/7/2025,Malware,Medium,Resolved,Trojan removed from workstation,user7,
10/8/2025,DDoS,High,Open,API endpoint under sustained attack,user8,
10/9/2025,Phishing,Critical,Investigating,Spear-phishing attempt on executives,user9,
10/10/2025,Ransomware,Critical,Open,Encrypted files on finance servers,user10,
10/11/2025,Data Leak,Medium,Resolved,Temporary exposure of non-sensitive files,user1,
10/12/2025,Malware,High,Open,Malicious software detected in download,user2,
10/13/2025,Phishing,Medium,Closed,Email scam reported by user,user3,
10/14/2025,DDoS,Low,Resolved,Short-term website downtime,user4,
10/15/2025,Insider Threat,High,Investigating,Suspicious access pattern detected,user5,
10/16/2025,Ransomware,Critical,Open,Workstation encrypted, recovery in progress,user6
10/17/2025,Malware,Medium,Closed,Adware found and removed,user7,
10/18/2025,Phishing,High,Open,Credential phishing attempt,user8,
10/19/2025,DDoS,Critical,Investigating,Distributed attack affecting APIs,user9,
10/20/2025,Data Leak,High,Open,Sensitive HR files accessible externally,user10,
10/21/2025,Insider Threat,Medium,Resolved,Internal system misuse logged,user1,
10/22/2025,Malware,High,Open,Ransomware detected in shared drive,user2,
10/23/2025,Phishing,Low,Closed,User reported suspicious link, no compromise,user3
10/24/2025,DDoS,Medium,Resolved,Website traffic surge mitigated,user4,
10/25/2025,Ransomware,Critical,Investigating,Finance servers encrypted,user5,
10/26/2025,Data Leak,High,Open,Private documents exposed,user6,
10/27/2025,Malware,Medium,Resolved,Spyware detected and removed,user7,
10/28/2025,Phishing,High,Open,Targeted phishing attempt,user8,
10/29/2025,DDoS,Critical,Investigating,Public API under attack,user9,
10/30/2025,Insider Threat,High,Open,Unauthorized access to financial data,user10,
10/31/2025,Malware,Medium,Closed,Trojan found on employee workstation,user1,
11/1/2025,Phishing,Low,Resolved,Phishing email flagged by system,user2,
11/2/2025,DDoS,Medium,Open,Traffic anomaly detected,user3,
11/3/2025,Ransomware,Critical,Investigating,Server encryption ongoing,user4,
11/4/2025,Data Leak,High,Open,Exposed sensitive customer information,user5,
11/5/2025,Malware,Medium,Resolved,Virus detected and cleaned,user6,
11/6/2025,Phishing,High,Open,Targeted phishing email to HR,user7,
11/7/2025,DDoS,Critical,Investigating,Sustained attack on website,user8,
11/8/2025,Insider Threat,High,Open,Suspicious access to internal systems,user9,
11/9/2025,Ransomware,Critical,Open,Encrypted files on network drives,user10,
11/10/2025,Malware,Medium,Closed,Adware removed from laptops,user1,
11/11/2025,Phishing,High,Investigating,Spear-phishing targeting executives,user2,
11/12/2025,DDoS,Medium,Resolved,Website traffic attack mitigated,user3,
11/13/2025,Data Leak,High,Open,Internal files accidentally shared,user4,
11/14/2025,Insider Threat,Critical,Investigating,Unauthorized data export detected,user5,
11/15/2025,Malware,Medium,Open,Malicious program detected on endpoint,user6,
11/16/2025,Phishing,Low,Closed,Suspicious email reported, no impact,user7
11/17/2025,DDoS,High,Open,Attack affecting public API,user8,
11/18/2025,Ransomware,Critical,Investigating,File encryption ongoing on servers,user9,
11/19/2025,Data Leak,High,Open,Sensitive client info accidentally leaked,user10;,
