date,incident_type,severity,status,description,reported_by
2025-09-15,Phishing,Critical,Open,Targeted spear-phishing email to finance team,alice
2025-09-16,Phishing,High,Investigating,Multiple phishing attempts detected via email gateway,bob
2025-09-17,Malware,High,Resolved,Malicious attachment detected and quarantined,charlie
2025-09-18,DDoS,Medium,Closed,Website experienced temporary DDoS attack,diana
2025-09-19,Phishing,High,Open,Credential phishing via fake login portal,emma
2025-09-20,Ransomware,Critical,Investigating,Ransomware detected on HR server,frank
2025-09-21,Phishing,High,Open,Spear-phishing targeting executive emails,alice
2025-09-22,Malware,Medium,Resolved,Trojan found on employee laptop,bob
2025-09-23,DDoS,Medium,Closed,Distributed denial-of-service mitigated,charlie
2025-09-24,Insider Threat,High,Investigating,Unauthorized access to confidential files,diana
2025-09-25,Phishing,Critical,Open,Targeted phishing campaign on IT staff,emma
2025-09-26,Phishing,High,Open,Multiple reports of phishing via Teams,frank
2025-09-27,Malware,Medium,Resolved,Rogue software installation detected,alice
2025-09-28,DDoS,High,Closed,Attack on public API endpoints,bob
2025-09-29,Phishing,High,Open,Phishing emails with malicious links,charlie
2025-09-30,Ransomware,Critical,Investigating,Ransomware attempt blocked,diana
2025-10-01,Phishing,High,Open,Phishing targeting accounting emails,emma
2025-10-02,Phishing,Critical,Open,Spear-phishing targeting executives,frank
2025-10-03,Malware,Medium,Resolved,Keylogger detected on workstation,alice
2025-10-04,DDoS,Medium,Closed,Temporary denial-of-service to API servers,bob
2025-10-05,Phishing,High,Open,Multiple phishing emails reported,charlie
2025-10-06,Phishing,High,Investigating,Phishing link clicked by employee,diana
2025-10-07,Ransomware,Critical,Investigating,Encrypted files detected,emma
2025-10-08,Phishing,High,Open,Targeted phishing campaign in sales team,frank
2025-10-09,Malware,Medium,Resolved,Spyware removed from workstation,alice
2025-10-10,DDoS,High,Closed,Public website under heavy load,bob
2025-10-11,Phishing,Critical,Open,Spear-phishing targeting HR,charlie
2025-10-12,Phishing,High,Open,Credential phishing attempts detected,diana
2025-10-13,Malware,Medium,Resolved,Ransomware stopped on finance PC,emma
2025-10-14,Phishing,High,Open,Multiple phishing emails with fake attachments,frank
2025-10-15,DDoS,Medium,Closed,Mitigated traffic spike from botnet,alice
2025-10-16,Ransomware,Critical,Investigating,Encrypted HR data detected,bob
2025-10-17,Phishing,High,Open,Targeted emails to executives,charlie
2025-10-18,Malware,Medium,Resolved,Adware removed from employee machine,diana
2025-10-19,Phishing,High,Open,Spear-phishing detected in internal emails,emma
2025-10-20,DDoS,Medium,Closed,Website downtime due to attack,frank
2025-10-21,Phishing,Critical,Open,Phishing campaign targeting finance,alice
2025-10-22,Ransomware,High,Investigating,HR server locked by ransomware,bob
2025-10-23,Phishing,High,Open,Multiple phishing attempts blocked,charlie
2025-10-24,Malware,Medium,Resolved,Detected malware removed successfully,diana
2025-10-25,Phishing,High,Open,Targeted phishing emails to IT team,emma
2025-10-26,DDoS,Medium,Closed,Public facing API attacked,frank
2025-10-27,Phishing,High,Open,Critical phishing campaign ongoing,alice
2025-10-28,Ransomware,Critical,Investigating,Ransomware attempt prevented,bob
2025-10-29,Malware,Medium,Resolved,Trojan removed from laptop,charlie
2025-10-30,Phishing,High,Open,Multiple phishing emails to employees,diana
2025-10-31,DDoS,Medium,Closed,Temporary outage mitigated,emma
2025-11-01,Phishing,Critical,Open,Spear-phishing targeting execs,frank
2025-11-02,Phishing,High,Open,Credential phishing detected,alice
2025-11-03,Malware,Medium,Resolved,Rogue software blocked,bob
2025-11-04,Phishing,High,Open,Targeted phishing attempt,charlie
2025-11-05,Ransomware,Critical,Investigating,Ransomware blocked,diana
2025-11-06,Phishing,High,Open,Multiple phishing emails reported,emma
2025-11-07,DDoS,Medium,Closed,Mitigated DDoS traffic,frank
2025-11-08,Phishing,Critical,Open,Spear-phishing ongoing,alice
2025-11-09,Phishing,High,Open,Targeted phishing in finance dept,bob
2025-11-10,Malware,Medium,Resolved,Malware quarantined,charlie
2025-11-11,Phishing,High,Open,Phishing emails detected,diana
2025-11-12,Ransomware,Critical,Investigating,Ransomware stopped,emma
2025-11-13,Phishing,High,Open,Phishing attempts blocked,frank
