dataset_name,source,category,last_updated,record_count,file_size_mb,created_at
Microbiome Project,https://github.com/biocore/American-Gut,Biology,11/1/2024,2,0.9,
GloBI,https://github.com/jhpoelen/eol-globi-data/wiki#accessing-species-interaction-data,Biology,11/2/2024,3,1.2,
Global Climate,http://en.tutiempo.net/climate,Climate/Weather,11/2/2024,56,3.2,
CommonCraw 2012,http://www.bigdatanews.com/profiles/blogs/big-data-set-3-5-billion-web-pages-made-available-for-all-of-us,Computer Networks,11/1/2024,47,2.2,
Indiana Webclicks,http://cnets.indiana.edu/groups/nan/webtraffic/click-dataset/,Computer Networks,11/5/2024,74,2.3,
Criteo click-through,http://labs.criteo.com/2015/03/criteo-releases-its-new-dataset/,Computer Networks,11/6/2024,80,4.3,
ICWSM 2009,http://icwsm.cs.umbc.edu/,Data Challenges,11/7/2024,43,2.5,
KDD Cup,http://www.kddcup2012.org/,Data Challenges,11/8/2024,6,1.2,
Localytics Data,https://github.com/localytics/data-viz-challenge,Data Challenges,11/9/2024,43,1.2,
Yelp Dataset,http://www.yelp.com/dataset_challenge,Data Challenges,4/5/2024,54,1.2,
Bruteforce Database,https://github.com/duyetdev/bruteforce-database,Data Challenges,11/6/2024,2,2.3,
Countries,https://github.com/umpirsky/country-list,GIS,11/1/2024,4,2.3,
TwoFishes,https://github.com/foursquare/twofishes,GIS,11/2/2024,2,2.3,
World countries,https://github.com/mledoze/countries,GIS,11/2/2024,89,3.3,
Cities and countries,https://github.com/caesar0301/awesome-public-datasets/blob/master/Government.rst,Government,11/1/2024,90,3.3,
Ebola cases,https://data.hdx.rwlabs.org/dataset/ebola-cases-2014,Healthcare,11/5/2024,67,3.3,
eBay Online,http://www.modelingonlineauctions.com/datasets,Machine Learning,11/6/2024,60,3.3,
New Yorker Captions,https://github.com/nextml/caption-contest-data,Machine Learning,11/7/2024,49,3.3,
Cooper-Hewitt's Collection,https://github.com/cooperhewitt/collection,Museums,11/8/2024,38,3.3,
Minneapolis Institute,https://github.com/artsmia/collection,Museums,11/9/2024,27,3.3,
Tate Collection,https://github.com/tategallery/collection,Museums,4/5/2025,16,3.3,
Google 5gram,https://catalog.ldc.upenn.edu/LDC2006T13,Natural Language,11/7/2024,5,3.3,
"Arabic, 30K articles",https://github.com/ParallelMazen/SaudiNewsNet,Natural Language,11/1/2024,67,3.3,
USENET postings,http://www.psych.ualberta.ca/~westburylab/downloads/usenetcorpus.download.html,Natural Language,11/2/2024,56,2.3,
Datahub.io,https://datahub.io/dataset,Search Engines,11/2/2024,45,2.3,
Twitter Scrape CIKM,https://archive.org/details/twitter_cikm_2010,Social Networks,11/1/2024,34,2.3,
Facebook Data,https://archive.org/details/oxford-2005-facebook-matrix,Social Networks,11/5/2024,23,2.3,
LAW graphs,http://law.di.unimi.it/datasets.php,Social Networks,11/6/2024,12,2.3,
Foursquare from,https://archive.org/details/201309_foursquare_dataset_umn,Social Networks,11/7/2024,1,2.3,
Skytrax' Air,https://github.com/quankiquanki/skytrax-reviews-dataset,Social Networks,11/8/2024,23,2.3,
Twitter Scrape,http://archive.org/details/2011-05-calufa-twitter-sql,Social Networks,11/9/2024,199,2.3,
Youtube Video,http://netsg.cs.sfu.ca/youtubedata/,Social Networks,4/5/2026,375,2.3,
FBI Hate Crime 2013,https://github.com/emorisse/FBI-Hate-Crime-Statistics/tree/master/2013,Social Sciences,11/8/2024,551,2.3,
GSS,http://gss.norc.org,Social Sciences,11/1/2024,727,2.3,
Texas Inmates,http://www.tdcj.state.tx.us/death_row/dr_executed_offenders.html,Social Sciences,11/2/2024,903,2.3,
Formula 1,http://ergast.com/mrd/db,Sports,11/2/2024,1079,2.3,
Pinhooker: Thoroughbred,https://github.com/phillc73/pinhooker,Sports,11/1/2024,1255,2.3,
Airlines OD,http://stat-computing.org/dataexpo/2009/the-data.html,Transportation,11/5/2024,1431,2.3,
BSS,https://github.com/BetaNYC/Bike-Share-Data-Best-Practices/wiki/Bike-Share-Data-Systems,Transportation,11/6/2024,1607,2.3,
NYC Taxi,http://www.nyc.gov/html/tlc/html/about/trip_record_data.shtml,Transportation,11/7/2024,1783,2.3,
FOIA/FOILed,https://archive.org/details/nycTaxiTripData2013,Transportation,11/8/2024,1959,2.3,
NYC Uber,https://github.com/fivethirtyeight/uber-tlc-foil-response,Transportation,11/9/2024,2135,2.3,
Open Traffic,https://github.com/graphhopper/open-traffic-collection,Transportation,4/5/2027,2311,2.3,
Plane Crash,http://www.planecrashinfo.com/database.htm,Transportation,11/9/2024,2487,2.3,
U.S. Domestic,http://academictorrents.com/details/a2ccf94bbb4af222bf8e69dad60a68a29f310d9a,Transportation,11/1/2024,2663,2.3,
U.S. Freight,http://ops.fhwa.dot.gov/freight/freight_analysis/faf/index.htm,Transportation,11/2/2024,2839,2.3,
Data Packaged,https://github.com/datasets/,Complementary Collections,11/2/2024,3015,3.4,
USDA PLANTS,http://www.plants.usda.gov/dl_all.html,Agriculture,11/1/2024,3191,4.5,
ClueWeb09,http://lemurproject.org/clueweb09/,Computer Networks,11/5/2024,3367,4.5,
ClueWeb12,http://lemurproject.org/clueweb12/,Computer Networks,11/6/2024,3543,4.5,
DEFRA Projects,http://randd.defra.gov.uk/,Energy,11/7/2024,3719,4.5,
UK-DALE,http://www.doc.ic.ac.uk/~dk3810/data/,Energy,11/8/2024,3895,4.5,
Landsat 8,https://aws.amazon.com/public-data-sets/landsat/,GIS,11/9/2024,4071,4.5,
Reverse Geocode,https://github.com/kno10/reversegeocode,GIS,4/5/2028,4247,4.5,
Faces Database,http://wilmabainbridge.com/facememorability2.html,Image Processing,11/10/2024,4423,4.5,
ClueWeb09 FACC,http://lemurproject.org/clueweb09/FACC1/,Natural Language,11/1/2024,4599,4.5,
ClueWeb12 FACC,http://lemurproject.org/clueweb12/FACC1/,Natural Language,11/2/2024,4775,4.5,
Google Ngrams,https://aws.amazon.com/datasets/google-books-ngrams/,Natural Language,11/2/2024,4951,4.5,
EDRM Enron,https://aws.amazon.com/datasets/enron-email-data/,Social Networks,11/1/2024,5127,4.5,
GetGlue,http://getglue-data.s3.amazonaws.com/getglue_sample.tar.gz,Social Networks,11/5/2024,5303,4.5,
Twitter RepLab,http://nlp.uned.es/replab2013/,Social Networks,11/6/2024,5479,4.5,
