id,dataset_name,source,category,last_updated,record_count,file_size_mb,created_at
1,Microbiome Project,https://github.com/biocore/American-Gut,Biology,11/1/2024,2,0.9,
2,GloBI,https://github.com/jhpoelen/eol-globi-data/wiki#accessing-species-interaction-data,Biology,11/2/2024,3,1.2,
3,Global Climate,http://en.tutiempo.net/climate,Climate/Weather,11/2/2024,56,3.2,
4,CommonCraw 2012,http://www.bigdatanews.com/profiles/blogs/big-data-set-3-5-billion-web-pages-made-available-for-all-of-us,Computer Networks,11/1/2024,47,2.2,
5,Indiana Webclicks,http://cnets.indiana.edu/groups/nan/webtraffic/click-dataset/,Computer Networks,11/5/2024,74,2.3,
6,Criteo click-through,http://labs.criteo.com/2015/03/criteo-releases-its-new-dataset/,Computer Networks,11/6/2024,80,4.3,
7,ICWSM 2009,http://icwsm.cs.umbc.edu/,Data Challenges,11/7/2024,43,2.5,
8,KDD Cup,http://www.kddcup2012.org/,Data Challenges,11/8/2024,6,1.2,
9,Localytics Data,https://github.com/localytics/data-viz-challenge,Data Challenges,11/9/2024,43,1.2,
10,Yelp Dataset,http://www.yelp.com/dataset_challenge,Data Challenges,4/5/2024,54,1.2,
11,Bruteforce Database,https://github.com/duyetdev/bruteforce-database,Data Challenges,11/6/2024,2,2.3,
12,Countries,https://github.com/umpirsky/country-list,GIS,11/1/2024,4,2.3,
13,TwoFishes,https://github.com/foursquare/twofishes,GIS,11/2/2024,2,2.3,
14,World countries,https://github.com/mledoze/countries,GIS,11/2/2024,89,3.3,
15,Cities and countries,https://github.com/caesar0301/awesome-public-datasets/blob/master/Government.rst,Government,11/1/2024,90,3.3,
16,Ebola cases,https://data.hdx.rwlabs.org/dataset/ebola-cases-2014,Healthcare,11/5/2024,67,3.3,
17,eBay Online,http://www.modelingonlineauctions.com/datasets,Machine Learning,11/6/2024,60,3.3,
18,New Yorker Captions,https://github.com/nextml/caption-contest-data,Machine Learning,11/7/2024,49,3.3,
19,Cooper-Hewitt's Collection,https://github.com/cooperhewitt/collection,Museums,11/8/2024,38,3.3,
20,Minneapolis Institute,https://github.com/artsmia/collection,Museums,11/9/2024,27,3.3,
21,Tate Collection,https://github.com/tategallery/collection,Museums,4/5/2025,16,3.3,
22,Google 5gram,https://catalog.ldc.upenn.edu/LDC2006T13,Natural Language,11/7/2024,5,3.3,
23,"Arabic, 30K articles",https://github.com/ParallelMazen/SaudiNewsNet,Natural Language,11/1/2024,67,3.3,
24,USENET postings,http://www.psych.ualberta.ca/~westburylab/downloads/usenetcorpus.download.html,Natural Language,11/2/2024,56,2.3,
25,Datahub.io,https://datahub.io/dataset,Search Engines,11/2/2024,45,2.3,
26,Twitter Scrape CIKM,https://archive.org/details/twitter_cikm_2010,Social Networks,11/1/2024,34,2.3,
27,Facebook Data,https://archive.org/details/oxford-2005-facebook-matrix,Social Networks,11/5/2024,23,2.3,
28,LAW graphs,http://law.di.unimi.it/datasets.php,Social Networks,11/6/2024,12,2.3,
29,Foursquare from,https://archive.org/details/201309_foursquare_dataset_umn,Social Networks,11/7/2024,1,2.3,
30,Skytrax' Air,https://github.com/quankiquanki/skytrax-reviews-dataset,Social Networks,11/8/2024,23,2.3,
31,Twitter Scrape,http://archive.org/details/2011-05-calufa-twitter-sql,Social Networks,11/9/2024,199,2.3,
32,Youtube Video,http://netsg.cs.sfu.ca/youtubedata/,Social Networks,4/5/2026,375,2.3,
33,FBI Hate Crime 2013,https://github.com/emorisse/FBI-Hate-Crime-Statistics/tree/master/2013,Social Sciences,11/8/2024,551,2.3,
34,GSS,http://gss.norc.org,Social Sciences,11/1/2024,727,2.3,
35,Texas Inmates,http://www.tdcj.state.tx.us/death_row/dr_executed_offenders.html,Social Sciences,11/2/2024,903,2.3,
36,Formula 1,http://ergast.com/mrd/db,Sports,11/2/2024,1079,2.3,
37,Pinhooker: Thoroughbred,https://github.com/phillc73/pinhooker,Sports,11/1/2024,1255,2.3,
38,Airlines OD,http://stat-computing.org/dataexpo/2009/the-data.html,Transportation,11/5/2024,1431,2.3,
39,BSS,https://github.com/BetaNYC/Bike-Share-Data-Best-Practices/wiki/Bike-Share-Data-Systems,Transportation,11/6/2024,1607,2.3,
40,NYC Taxi,http://www.nyc.gov/html/tlc/html/about/trip_record_data.shtml,Transportation,11/7/2024,1783,2.3,
41,FOIA/FOILed,https://archive.org/details/nycTaxiTripData2013,Transportation,11/8/2024,1959,2.3,
42,NYC Uber,https://github.com/fivethirtyeight/uber-tlc-foil-response,Transportation,11/9/2024,2135,2.3,
