dataset_name,category,source,last_updated,record_count,file_size_mb
Threat Intel Logs Q1 2025,Threat Intelligence,External Threat Feed,2025-11-01,250000,120.5
Corporate Network Logs Apr-May 2025,Network Logs,Internal SIEM,2025-10-28,1500000,950.0
Endpoint Security Events Mar 2025,Endpoint Monitoring,Internal EDR,2025-10-30,500000,320.2
Phishing Campaign Data Oct 2025,Threat Intelligence,External Security Vendor,2025-11-10,12000,5.5
Firewall Logs Sep-Oct 2025,Network Logs,Internal Firewall,2025-10-25,800000,480.0
Malware Samples Archive,Threat Intelligence,Open Malware Repo,2025-11-12,40000,250.7
User Access Logs Oct 2025,Access Logs,Internal AD,2025-11-05,1000000,600.0
Dark Web Threat Reports,Threat Intelligence,External Dark Web Feed,2025-10-20,8500,15.3
Email Security Logs Sep 2025,Email Security,Internal Email Gateway,2025-10-15,450000,200.8
VPN Connection Logs Oct 2025,Network Logs,Internal VPN Server,2025-11-08,200000,120.0
Ransomware Incident Reports,Threat Intelligence,Internal Incident Response,2025-11-11,1800,8.2
IoT Device Logs,Network Logs,Internal IoT Hub,2025-10-18,350000,210.4
Security Alerts Dashboard,Threat Intelligence,Internal SIEM,2025-11-09,7500,6.1
Cloud Access Logs Oct 2025,Access Logs,Cloud Provider,2025-11-03,950000,540.5
DNS Query Logs Sep 2025,Network Logs,Internal DNS Server,2025-10-22,3000000,1800.0
Web Proxy Logs Oct 2025,Network Logs,Internal Proxy,2025-11-07,850000,470.2
Employee Security Training Records,HR Data,Internal LMS,2025-10-30,12000,3.0
Incident Response Playbooks,Threat Intelligence,Internal Knowledge Base,2025-11-02,500,0.8
Cloud Security Events Oct 2025,Cloud Security,Cloud Provider,2025-11-06,600000,350.0
Malware Sandbox Analysis,Threat Intelligence,Internal Sandbox,2025-11-04,20000,180.0
Web Application Logs Sep-Oct 2025,Network Logs,Internal Web Server,2025-10-29,400000,220.5
Privilege Access Audit Logs,Access Logs,Internal AD,2025-11-01,150000,75.3
Threat Actor Profiles,Threat Intelligence,External Security Vendor,2025-11-03,1200,12.0
Phishing Email Templates,Threat Intelligence,Internal SOC,2025-10-27,850,1.2
Network Intrusion Alerts Oct 2025,Network Logs,Internal IDS,2025-11-08,45000,28.7
Malware Execution Traces,Threat Intelligence,Internal Sandbox,2025-11-10,15000,95.5
Endpoint Configuration Snapshots,Endpoint Monitoring,Internal EDR,2025-11-05,10000,15.0
Database Access Logs Oct 2025,Access Logs,Internal DB Server,2025-11-02,200000,110.0
Cyber Risk Assessment Reports,Threat Intelligence,Internal GRC,2025-10-30,300,2.1
Vulnerability Scan Results Oct 2025,Threat Intelligence,Internal Vulnerability Scanner,2025-11-07,7500,25.0
Cloud Storage Audit Logs,Cloud Security,Cloud Provider,2025-11-09,120000,90.0
Internal Ticketing System Logs,Access Logs,Internal ITSM,2025-11-06,500000,180.0
Network Topology Snapshots,Network Logs,Internal Network Team,2025-10-31,1000,12.5
Threat Intel Historical Archive,Threat Intelligence,External Feed,2025-11-12,500000,300.0
Firewall Rule Changes Audit,Network Logs,Internal Firewall,2025-11-08,1500,2.0
Malware Behavioral Analysis,Threat Intelligence,Internal Sandbox,2025-11-11,22000,150.0
Cloud Configuration Snapshots,Cloud Security,Cloud Provider,2025-11-05,4500,20.0
Phishing Simulation Results,Threat Intelligence,Internal SOC,2025-10-29,12000,6.5
id,ticket_id,dataset_name,source,category,last_updated,record_count,file_size_mb,assigned_to,priority,status,created_at
1,T001,Microbiome Project,https://github.com/biocore/American-Gut,Biology,2024-11-01,2,0.9,Technician,High,Open,2025-11-01 09:00:00
2,T002,GloBI,https://github.com/jhpoelen/eol-globi-data/wiki#accessing-species-interaction-data,Biology,2024-11-02,3,1.2,Admin Team,Medium,Open,2025-11-02 09:30:00
3,T003,Global Climate,http://en.tutiempo.net/climate,Climate/Weather,2024-11-02,56,3.2,Technician,High,In Progress,2025-11-03 10:15:00
4,T004,CommonCraw 2012,http://www.bigdatanews.com/profiles/blogs/big-data-set-3-5-billion-web-pages-made-available-for-all-of-us,Computer Networks,2024-11-01,47,2.2,Admin Team,Medium,Open,2025-11-04 11:00:00
5,T005,Indiana Webclicks,http://cnets.indiana.edu/groups/nan/webtraffic/click-dataset/,Computer Networks,2024-11-05,74,2.3,Technician,High,Open,2025-11-05 09:45:00
6,T006,Criteo click-through,http://labs.criteo.com/2015/03/criteo-releases-its-new-dataset/,Computer Networks,2024-11-06,80,4.3,Admin Team,High,In Progress,2025-11-06 10:30:00
7,T007,ICWSM 2009,http://icwsm.cs.umbc.edu/,Data Challenges,2024-11-07,43,2.5,Technician,Medium,Open,2025-11-07 09:50:00
8,T008,KDD Cup,http://www.kddcup2012.org/,Data Challenges,2024-11-08,6,1.2,Admin Team,High,Open,2025-11-08 10:20:00
9,T009,Localytics Data,https://github.com/localytics/data-viz-challenge,Data Challenges,2024-11-09,43,1.2,Technician,High,In Progress,2025-11-09 11:10:00
10,T010,Yelp Dataset,http://www.yelp.com/dataset_challenge,Data Challenges,2024-04-05,54,1.2,Admin Team,Medium,Open,2025-11-10 09:40:00
11,T011,Bruteforce Database,https://github.com/duyetdev/bruteforce-database,Data Challenges,2024-11-06,2,2.3,Technician,High,In Progress,2025-11-11 10:15:00
12,T012,Countries,https://github.com/umpirsky/country-list,GIS,2024-11-01,4,2.3,Admin Team,Medium,Open,2025-11-12 09:50:00
13,T013,TwoFishes,https://github.com/foursquare/twofishes,GIS,2024-11-02,2,2.3,Technician,High,Open,2025-11-13 10:05:00
14,T014,World countries,https://github.com/mledoze/countries,GIS,2024-11-02,89,3.3,Admin Team,High,In Progress,2025-11-14 09:30:00
15,T015,Cities and countries,https://github.com/caesar0301/awesome-public-datasets/blob/master/Government.rst,Government,2024-11-01,90,3.3,Technician,Medium,Open,2025-11-15 10:10:00
16,T016,Ebola cases,https://data.hdx.rwlabs.org/dataset/ebola-cases-2014,Healthcare,2024-11-05,67,3.3,Admin Team,High,In Progress,2025-11-16 09:55:00
17,T017,eBay Online,http://www.modelingonlineauctions.com/datasets,Machine Learning,2024-11-06,60,3.3,Technician,Medium,Open,2025-11-17 09:40:00
18,T018,New Yorker Captions,https://github.com/nextml/caption-contest-data,Machine Learning,2024-11-07,49,3.3,Admin Team,High,In Progress,2025-11-18 10:25:00
19,T019,Cooper-Hewitt's Collection,https://github.com/cooperhewitt/collection,Museums,2024-11-08,38,3.3,Technician,Medium,Open,2025-11-19 09:35:00
20,T020,Minneapolis Institute,https://github.com/artsmia/collection,Museums,2024-11-09,27,3.3,Admin Team,High,In Progress,2025-11-20 10:10:00
21,T021,Tate Collection,https://github.com/tategallery/collection,Museums,2025-04-05,16,3.3,Technician,Medium,Open,2025-11-21 09:50:00
22,T022,Google 5gram,https://catalog.ldc.upenn.edu/LDC2006T13,Natural Language,2024-11-07,5,3.3,Admin Team,High,In Progress,2025-11-22 10:05:00
