dataset_name,category,source,last_updated,record_count,file_size_mb
Cyber Logs 2025 Q2,Cyber,External Feed,2025-03-13,869791,1356.63
Cyber Sensor Data 2025 Q1,Cyber,Internal System,2025-02-17,1844068,473.0
IT Sensor Data 2024 Q4,IT,External Feed,2025-08-18,4953118,563.6
IT Feed 2024 Q4,IT,API,2025-05-23,1314256,438.47
R&D Logs 2024 Q4,R&D,Internal System,2025-07-03,2895309,1211.41
IT Records 2025 Q1,IT,Public Dataset,2025-02-10,4640852,593.42
R&D Sensor Data 2024 Q1,R&D,Internal System,2025-04-27,2437562,1970.59
HR Feed 2024 Q4,HR,API,2025-08-21,3070434,333.68
R&D Transactions 2025 Q1,R&D,Survey Tool,2025-11-22,1445615,1072.94
HR Transactions 2025 Q4,HR,API,2025-11-24,4682033,447.03
R&D Feed 2024 Q2,R&D,Internal System,2025-06-11,3375214,542.8
HR Sensor Data 2025 Q2,HR,IoT Sensors,2025-09-13,3328800,1770.52
Sales Transactions 2025 Q2,Sales,External Feed,2025-10-15,4531269,532.86
Operations Sensor Data 2025 Q3,Operations,External Feed,2025-03-12,4284216,992.1
IT Feed 2024 Q2,IT,IoT Sensors,2025-03-23,3551334,1196.85
Operations Survey Data 2025 Q3,Operations,Survey Tool,2025-01-06,970929,1366.6
Marketing Feed 2025 Q1,Marketing,API,2025-08-11,1336723,912.91
Marketing Sensor Data 2024 Q1,Marketing,IoT Sensors,2025-06-02,4268584,1221.85
Finance Analytics 2024 Q1,Finance,Survey Tool,2025-06-15,4108721,48.76
R&D Feed 2025 Q2,R&D,Internal System,2025-05-04,4769334,1894.43
Cyber Records 2025 Q1,Cyber,Survey Tool,2025-03-06,1087025,1322.9
Finance Analytics 2025 Q2,Finance,Survey Tool,2025-04-13,2624865,803.99
R&D Survey Data 2025 Q1,R&D,External Feed,2025-04-26,547088,682.79
HR Sensor Data 2024 Q1,HR,Internal System,2025-11-20,503868,465.59
IT Feed 2025 Q1,IT,Survey Tool,2025-05-02,2346036,1341.27
HR Sensor Data 2024 Q4,HR,External Feed,2025-08-31,3424666,388.92
Cyber Records 2025 Q3,Cyber,Public Dataset,2025-07-30,3927686,1729.04
IT Records 2024 Q1,IT,Public Dataset,2025-06-23,926615,504.83
HR Sensor Data 2025 Q2,HR,Public Dataset,2025-04-04,2346606,930.63
Cyber Survey Data 2024 Q1,Cyber,IoT Sensors,2025-10-04,133797,1938.3
HR Transactions 2025 Q4,HR,Public Dataset,2025-04-20,3374169,1805.86
Finance Survey Data 2024 Q4,Finance,API,2025-08-21,2402843,851.78
Sales Transactions 2024 Q3,Sales,External Feed,2025-01-30,4868516,1474.12
IT Records 2025 Q1,IT,Internal System,2025-10-27,4009591,1010.67
Finance Logs 2024 Q2,Finance,Internal System,2025-11-01,580097,1353.67
HR Survey Data 2024 Q2,HR,Survey Tool,2025-11-01,343377,1242.57
Operations Records 2025 Q3,Operations,External Feed,2025-06-10,2012242,538.57
Finance Records 2025 Q4,Finance,API,2025-02-07,88143,921.99
Cyber Logs 2024 Q3,Cyber,External Feed,2025-06-28,587063,1759.75
R&D Analytics 2024 Q4,R&D,Survey Tool,2025-06-04,4447076,25.57
Marketing Records 2024 Q2,Marketing,API,2025-03-01,907882,1487.41
Finance Analytics 2025 Q2,Finance,IoT Sensors,2025-06-25,1717898,1378.12
Marketing Sensor Data 2025 Q3,Marketing,Internal System,2025-02-17,3563211,1660.4
IT Logs 2025 Q2,IT,IoT Sensors,2025-05-15,1365447,1485.05
Operations Sensor Data 2024 Q1,Operations,Internal System,2025-03-18,4586743,81.7
R&D Sensor Data 2024 Q4,R&D,External Feed,2025-01-22,2595858,735.66
IT Analytics 2024 Q2,IT,IoT Sensors,2025-02-22,2976871,1562.43
Operations Sensor Data 2024 Q2,Operations,External Feed,2025-04-01,3468576,59.32
R&D Feed 2025 Q2,R&D,API,2025-03-23,916771,771.26
IT Feed 2025 Q2,IT,External Feed,2025-08-24,2943147,617.33
HR Transactions 2024 Q2,HR,Public Dataset,2025-06-18,2347091,1730.06
Marketing Analytics 2025 Q3,Marketing,Internal System,2025-03-01,2201231,365.35
Marketing Logs 2024 Q4,Marketing,API,2025-06-10,3670737,1216.36
Cyber Survey Data 2024 Q3,Cyber,Internal System,2025-08-12,24187,1044.64
HR Analytics 2025 Q1,HR,IoT Sensors,2025-06-19,2643315,1330.14
Cyber Records 2025 Q3,Cyber,IoT Sensors,2025-07-29,2746220,810.78
Marketing Sensor Data 2024 Q2,Marketing,Public Dataset,2025-07-14,1469847,1234.87
Marketing Survey Data 2024 Q3,Marketing,API,2025-04-18,3616163,1573.66
R&D Survey Data 2025 Q4,R&D,IoT Sensors,2025-04-20,4298038,951.64
Finance Records 2024 Q3,Finance,Survey Tool,2025-11-21,2821762,195.84
HR Records 2025 Q2,HR,External Feed,2025-03-17,214895,101.97
Sales Sensor Data 2024 Q4,Sales,Public Dataset,2025-11-19,4839077,396.93
Operations Survey Data 2025 Q2,Operations,External Feed,2025-01-03,904119,1559.06
HR Transactions 2025 Q1,HR,Survey Tool,2025-05-08,1028029,918.36
Sales Records 2025 Q4,Sales,Survey Tool,2025-09-16,3589760,1662.83
Sales Transactions 2025 Q4,Sales,API,2025-05-07,2336256,1533.97
Sales Records 2024 Q3,Sales,Public Dataset,2025-02-09,2406861,476.64
R&D Analytics 2024 Q2,R&D,External Feed,2025-04-29,3223132,1390.96
HR Logs 2025 Q4,HR,API,2025-10-05,3918456,837.39
HR Feed 2025 Q4,HR,Survey Tool,2025-01-11,4839240,766.96
IT Analytics 2025 Q4,IT,Public Dataset,2025-10-03,4591289,1601.74
HR Survey Data 2024 Q3,HR,Public Dataset,2025-09-06,253477,783.83
Operations Records 2024 Q4,Operations,External Feed,2025-11-15,4490553,63.66
Operations Sensor Data 2024 Q1,Operations,IoT Sensors,2025-08-08,1148329,1735.03
Finance Logs 2025 Q4,Finance,API,2025-04-19,3824294,660.42
Operations Analytics 2025 Q3,Operations,Internal System,2025-08-29,172598,1500.56
IT Analytics 2024 Q1,IT,IoT Sensors,2025-01-21,270298,1899.73
HR Feed 2024 Q2,HR,External Feed,2025-03-06,3982518,1342.22
HR Survey Data 2025 Q3,HR,External Feed,2025-11-07,970771,1557.81
Finance Analytics 2024 Q1,Finance,API,2025-10-22,3158302,799.34
HR Logs 2024 Q1,HR,IoT Sensors,2025-06-04,1025483,1594.49
IT Analytics 2025 Q3,IT,Internal System,2025-09-17,2872454,35.18
Operations Feed 2025 Q1,Operations,Public Dataset,2025-07-05,3866573,1417.54
Operations Transactions 2025 Q4,Operations,Public Dataset,2025-08-12,4980037,544.11
HR Feed 2024 Q3,HR,Public Dataset,2025-05-05,3908257,1144.0
Operations Analytics 2024 Q4,Operations,API,2025-04-04,4099865,432.12
Marketing Analytics 2025 Q3,Marketing,Survey Tool,2025-01-06,4343783,1896.64
Cyber Transactions 2025 Q4,Cyber,Survey Tool,2025-05-04,4003758,1295.35
Sales Survey Data 2024 Q1,Sales,API,2025-04-24,3402362,1386.66
Marketing Records 2025 Q4,Marketing,Survey Tool,2025-09-29,2893646,856.75
R&D Analytics 2025 Q3,R&D,API,2025-05-09,1943893,250.11
HR Analytics 2024 Q2,HR,External Feed,2025-04-21,4071752,560.23
Marketing Logs 2024 Q3,Marketing,External Feed,2025-07-04,1515264,611.51
Finance Analytics 2024 Q1,Finance,Survey Tool,2025-05-30,1069309,1279.36
Sales Logs 2024 Q3,Sales,Public Dataset,2025-09-03,3704920,688.0
IT Analytics 2025 Q1,IT,Internal System,2025-07-25,4135069,157.42
IT Transactions 2024 Q3,IT,Internal System,2025-05-08,1003643,1120.57
Operations Sensor Data 2024 Q4,Operations,Public Dataset,2025-08-15,2504378,1721.73
Operations Analytics 2024 Q1,Operations,External Feed,2025-11-17,1780207,536.65
Cyber Transactions 2024 Q2,Cyber,Survey Tool,2025-02-08,1323090,15.32
Sales Records 2025 Q3,Sales,Internal System,2025-04-29,2426798,1416.84
Sales Logs 2024 Q3,Sales,IoT Sensors,2025-10-29,1669427,856.03
HR Records 2024 Q3,HR,External Feed,2025-02-06,510280,340.19
Marketing Sensor Data 2025 Q4,Marketing,Internal System,2025-08-28,2560901,1402.47
Marketing Sensor Data 2025 Q4,Marketing,Internal System,2025-11-03,344376,1779.95
R&D Sensor Data 2025 Q1,R&D,Internal System,2025-04-28,4835119,1178.37
IT Feed 2025 Q1,IT,External Feed,2025-08-29,4363384,1306.5
Marketing Transactions 2025 Q4,Marketing,Internal System,2025-08-29,2928908,822.61
R&D Records 2024 Q2,R&D,API,2025-07-30,4166295,583.55
Operations Feed 2024 Q4,Operations,Internal System,2025-06-11,2127275,653.31
Operations Feed 2024 Q4,Operations,Public Dataset,2025-01-28,1583556,1041.69
Sales Records 2025 Q1,Sales,External Feed,2025-05-17,4617188,270.72
Marketing Survey Data 2025 Q1,Marketing,Internal System,2025-11-19,2017372,1422.47
Marketing Sensor Data 2024 Q4,Marketing,Internal System,2025-04-26,961780,928.28
Cyber Records 2024 Q4,Cyber,IoT Sensors,2025-05-30,4278727,1413.77
Operations Feed 2025 Q4,Operations,External Feed,2025-08-22,4634346,297.84
HR Sensor Data 2024 Q1,HR,API,2025-08-01,2861080,1869.15
Marketing Feed 2024 Q3,Marketing,IoT Sensors,2025-06-02,4933590,1164.05
Sales Feed 2024 Q4,Sales,Survey Tool,2025-09-05,2905109,671.56
Operations Survey Data 2025 Q2,Operations,IoT Sensors,2025-05-03,4806586,772.11
Operations Logs 2025 Q4,Operations,IoT Sensors,2025-07-15,3248663,1976.94
Finance Survey Data 2024 Q2,Finance,Survey Tool,2025-10-30,2794973,1740.7
Sales Logs 2025 Q1,Sales,IoT Sensors,2025-03-15,3449149,1743.16
Finance Logs 2025 Q3,Finance,API,2025-11-16,3344331,1303.17
R&D Feed 2025 Q3,R&D,IoT Sensors,2025-09-07,4548371,81.44
Cyber Transactions 2025 Q2,Cyber,IoT Sensors,2025-02-16,3650416,1956.89
Cyber Survey Data 2024 Q3,Cyber,Internal System,2025-01-24,2731051,1594.33
Marketing Analytics 2025 Q4,Marketing,External Feed,2025-05-06,4465746,829.98
Finance Transactions 2024 Q1,Finance,Survey Tool,2025-07-15,2030226,1000.36
Finance Transactions 2025 Q3,Finance,Public Dataset,2025-05-11,88831,1798.83
Sales Analytics 2024 Q1,Sales,Public Dataset,2025-06-26,4938908,605.32
Operations Records 2025 Q4,Operations,API,2025-04-12,3237040,1708.14
Cyber Transactions 2025 Q3,Cyber,Survey Tool,2025-06-01,2486575,53.66
Operations Analytics 2024 Q1,Operations,Survey Tool,2025-09-12,2410770,1553.72
HR Sensor Data 2025 Q2,HR,IoT Sensors,2025-04-08,2112409,1358.75
Finance Records 2024 Q1,Finance,API,2025-08-14,289881,1163.35
Finance Logs 2025 Q3,Finance,IoT Sensors,2025-08-01,1483375,409.58
R&D Sensor Data 2025 Q2,R&D,API,2025-09-04,2485825,1495.65
R&D Feed 2024 Q4,R&D,Internal System,2025-03-14,1902593,1721.68
Operations Feed 2025 Q1,Operations,Public Dataset,2025-01-08,2228439,1077.78
Sales Analytics 2025 Q4,Sales,IoT Sensors,2025-07-10,918872,1352.92
Sales Logs 2025 Q2,Sales,IoT Sensors,2025-02-02,3904558,1819.68
Marketing Records 2025 Q1,Marketing,External Feed,2025-01-24,322157,615.69
Sales Logs 2024 Q2,Sales,Survey Tool,2025-03-11,3270197,912.75
Operations Sensor Data 2024 Q4,Operations,IoT Sensors,2025-02-20,4114940,1235.15
Marketing Logs 2025 Q2,Marketing,Public Dataset,2025-08-16,1990656,1712.35
Cyber Records 2025 Q3,Cyber,Internal System,2025-07-23,2324261,387.72
Cyber Feed 2025 Q1,Cyber,IoT Sensors,2025-04-19,189159,110.65
R&D Transactions 2024 Q2,R&D,Internal System,2025-10-11,1747761,1176.9
HR Analytics 2024 Q1,HR,API,2025-03-16,1100453,1085.03
